Region,State,District,Location,Plant name ,Owner,Sector,Status,Unit,Capacity (MW),Commissioning year,Boiler,Coal Source,Import country,Port,Type plant,Coal Type,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Southern,Andhra Pradesh,Srikakulam,Polaki,Srikakulam Thermal Power Project,Andhra Pradesh Power Generation Corporation (APGENCO); Sumitomo Corporation,State,Announced,2,1000.0,2021.0,Ultra Super-Critical,Telisahi Coal bloccks- Angul,India,none,Coastal,Domestic,18.3,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
Southern,Andhra Pradesh,Srikakulam,Polaki,Srikakulam Thermal Power Project,Andhra Pradesh Power Generation Corporation (APGENCO); Sumitomo Corporation,State,Announced,3,1000.0,2022.0,Ultra Super-Critical,Telisahi Coal bloccks- Angul,India,none,Coastal,Domestic,18.3,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
Southern,Andhra Pradesh,Srikakulam,Polaki,Srikakulam Thermal Power Project,Andhra Pradesh Power Generation Corporation (APGENCO); Sumitomo Corporation,State,Announced,4,1000.0,2023.0,Ultra Super-Critical,Telisahi Coal bloccks- Angul,India,none,Coastal,Domestic,18.3,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
Southern,Andhra Pradesh,Vijayanagaram,"Komarada village, Parvathi Puram Mandal",Komarada Thermal Power Project,Alfa Infraprop Private Limited,Private,Planned,1,660.0,2025.0,Super-Critical,other,India,none,Coastal,Blended,18.89,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Vijayanagaram,"Komarada village, Parvathi Puram Mandal",Komarada Thermal Power Project,Alfa Infraprop Private Limited,Private,Planned,2,660.0,2025.0,Super-Critical,other,India,none,Coastal,Blended,18.89,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Vijayanagaram,"Komarada village, Parvathi Puram Mandal",Komarada Thermal Power Project,Alfa Infraprop Private Limited,Private,Planned,3,660.0,2025.0,Super-Critical,other,India,none,Coastal,Blended,18.89,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Vijayanagaram,"Komarada village, Parvathi Puram Mandal",Komarada Thermal Power Project,Alfa Infraprop Private Limited,Private,Planned,4,660.0,2025.0,Super-Critical,other,India,none,Coastal,Blended,18.89,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Visakhapatnam,Gunipudi,Gunipudi Power Station,Suryachakra Group/ Suryachakra Power Corporation,Private,Pre-Permit Development,1,660.0,2025.0,Ultra Super-Critical,other,Indonesia,Vishakapatanam,Coastal,Blended,17.3,82.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Visakhapatnam,Gunipudi,Gunipudi Power Station,Suryachakra Group/ Suryachakra Power Corporation,Private,Pre-Permit Development,1,660.0,2025.0,Ultra Super-Critical,other,Indonesia,Vishakapatanam,Coastal,Blended,17.3,82.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Visakhapatnam,Pudimadaka,Pudimadaka Ultra Mega Power Project,National Thermal Power Corporation (NTPC),Central,Pre-Permit Development,1,800.0,2022.0,Super-Critical,other,Indonesia,none,Coastal,Blended,17.4927,83.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Visakhapatnam,Pudimadaka,Pudimadaka Ultra Mega Power Project,National Thermal Power Corporation (NTPC),Central,Pre-Permit Development,2,800.0,2022.0,Super-Critical,other,Indonesia,none,Coastal,Blended,17.4927,83.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0
